Home,Away,Home_Score,Away_Score,Tournament
Alabama A&M,Arkansas-Pine Bluff,75,72,
Alabama State,Mississippi Valley State,70,76,
Texas Southern,Southern,79,68,
Northeastern,College of Charleston,63,99,
Stony Brook,Delaware,60,71,
Hampton,Elon,68,70,
Drexel,Hofstra,52,66,
Maryland-Eastern Shore,Howard,69,78,
North Carolina A&T,Monmouth,71,85,
Delaware State,Norfolk State,58,97,
Coppin State,North Carolina Central,52,85,
Morgan State,South Carolina State,62,74,
Towson,William & Mary,66,68,
Prairie View,Grambling,64,68,
Hartford,South Alabama,53,77,
Kansas,Oklahoma State,87,76,
Kansas State,Oklahoma,65,79,
Creighton,Providence,86,94,
NC State,Syracuse,72,75,
Buffalo,Ohio,61,85,
St. John's (NY),DePaul,92,83,
Air Force,Utah State,65,80,
Georgetown,Seton Hall,68,76,
Vanderbilt,South Carolina,75,64,
Missouri,Auburn,56,89,
Northern Illinois,Ball State,77,87,
Central Michigan,Bowling Green State,77,74,
Notre Dame,Duke,64,68,
Akron,Eastern Michigan,78,51,
Loyola (IL),UMass,64,62,
Illinois,Penn State,81,93,
Miami (OH),Toledo,71,89,
Southern Illinois,Valparaiso,66,62,
Kent State,Western Michigan,82,58,
LSU,Georgia,63,65,
Nebraska,Rutgers,82,72,
Butler,Villanova,50,62,
Boston College,Pitt,58,77,
Michigan,Wisconsin,59,64,
San Jose State,UNLV,75,66,
Wyoming,New Mexico,70,56,
Alabama,Tennessee,59,68,
Virginia,Louisville,61,58,
Xavier,Marquette,68,69,
Indiana,Northwestern,62,64,
TCU,Iowa State,59,70,
San Diego State,Fresno State,45,43,
UMBC,Albany (NY),74,81,
Furman,The Citadel,65,69,
St. Bonaventure,Fordham,63,78,
Winthrop,Gardner-Webb,86,78,
Boston University,Holy Cross,69,71,
Indiana State,UIC,79,60,
Murray State,Illinois State,76,75,
UT Arlington,Sam Houston,56,66,
Boise State,Colorado State,80,78,
Abilene Christian,New Mexico State,,,
Ole Miss,Florida,64,79,
Evansville,Belmont,63,95,
NJIT,Binghamton,67,86,
UMass-Lowell,Bryant,85,71,
Charleston Southern,Campbell,51,67,
Florida State,Clemson,54,94,
Army,Colgate,86,93,
St. Joseph's,Duquesne,62,76,
Cincinnati,East Carolina,71,75,
George Mason,George Washington,66,53,
Virginia Tech,Georgia Tech,70,77,
Richmond,La Salle,62,68,
Navy,Lehigh,75,64,
Lafayette,Loyola (MD),70,73,
IUPUI,Oakland,81,85,
High Point,Presbyterian,71,69,
VCU,Rhode Island,55,54,
UNC Greensboro,Samford,71,83,
Longwood,USC Upstate,67,72,
Tarleton State,Stephen F. Austin,60,65,
Florida Gulf Coast,Stetson,72,75,
New Hampshire,Vermont,51,80,
Chattanooga,VMI,78,58,
ETSU,Western Carolina,66,68,
Mercer,Wofford,67,70,
Missouri State,Bradley,54,64,
Minnesota,Michigan State,,,
Kentucky,Mississippi State,71,68,
South Florida,Tulsa,96,69,
Cal State Northridge,UC-Davis,62,73,
Texas-Rio Grande Valley,Grand Canyon,77,76,
Drake,Northern Iowa,82,74,
Davidson,Saint Louis,65,78,
Arkansas,Texas A&M,56,62,
Cal State Bakersfield,Cal Poly,70,62,
Seattle,California Baptist,63,84,
Long Beach State,UC-Riverside,76,88,
Cal State Fullerton,UC-San Diego,76,73,
UC-Irvine,UCSB,70,59,
Oregon,Washington,71,72,
Houston,SMU,80,65,
Purdue,Maryland,54,68,
Stanford,UCLA,64,73,
Utah,Arizona,62,88,
Gonzaga,Loyola Marymount,108,65,
Saint Mary's,San Diego,62,59,
Florida Atlantic,Middle Tennessee,70,74,
UNC Asheville,Radford,63,54,
Western Kentucky,Charlotte,64,68,
Old Dominion,James Madison,67,76,
Georgia Southern,Marshall,83,84,
Saint Francis (PA),St. Francis (NY),72,64,
LIU,Stonehill,60,75,
Jacksonville,Austin Peay,60,56,
North Florida,Lipscomb,114,111,
UTSA,Rice,84,79,
Colorado,Arizona State,67,59,
Northern Arizona,Eastern Washington,55,72,
San Francisco,Pacific,76,68,
California,USC,60,97,
Texas State,Appalachian State,75,82,
North Alabama,Bellarmine,70,57,
Wagner,Central Connecticut,57,58,
Georgia State,Coastal Carolina,68,77,
UNC Wilmington,Drexel,72,71,
Central Arkansas,Eastern Kentucky,58,74,
College of Charleston,Elon,88,66,
Merrimack,Hartford,67,59,
Hampton,Hofstra,43,73,
Queens (NC),Jacksonville State,69,76,
Liberty,Kennesaw State,81,88,
North Texas,Louisiana Tech,72,62,
Tennessee State,Morehead State,64,74,
Monmouth,Northeastern,62,77,
Green Bay,Robert Morris,56,71,
FDU,Sacred Heart,86,94,
William & Mary,Stony Brook,66,71,
Wichita State,Temple,79,65,
Delaware,Towson,72,95,
Milwaukee,Youngstown State,58,87,
Southern Indiana,Little Rock,82,81,
Troy,Arkansas State,67,62,
Houston Christian,Lamar,75,91,
Louisiana-Monroe,Louisiana,67,84,
Incarnate Word,McNeese State,76,78,
UCF,Memphis,63,64,
North Dakota State,Kansas City,69,58,
South Dakota,Omaha,72,80,
Texas A&M-Corpus Christi,Nicholls State,78,74,
North Dakota,Oral Roberts,70,73,
Southern Miss,South Alabama,54,85,
Eastern Illinois,Southeast Missouri State,64,78,
Lindenwood,Tennessee Tech,68,77,
New Orleans,Texas A&M-Commerce,84,78,
Santa Clara,BYU,81,74,
South Dakota State,Denver,80,75,
Northern Colorado,Idaho,82,84,
Ohio State,Iowa,75,92,
Southeastern Louisiana,Northwestern State,76,81,
SIU-Edwardsville,UT-Martin,84,90,
UAB,UTEP,79,66,
Idaho State,Portland State,70,79,
Weber State,Sacramento State,52,49,
Oregon State,Washington State,62,80,
Manhattan,Iona,60,71,
Calumet College,Chicago State,56,103,
Utah Tech,Southern Utah,71,81,
Dartmouth,Cornell,83,95,
Wright State,Cleveland State,68,85,
Harvard,Columbia,83,65,
Northern Kentucky,Purdue Fort Wayne,63,50,
Dayton,Loyola (IL),65,49,
Fairfield,Marist,70,61,
Niagara,Mount St. Mary's,66,70,
Detroit Mercy,Oakland,96,74,
Yale,Penn,64,66,
Brown,Princeton,67,78,
Canisius,Rider,81,78,
Quinnipiac,Siena,66,63,
Abilene Christian,Grand Canyon,84,94,
New Mexico,San Jose State,96,68,
Air Force,Wyoming,75,69,
Eastern Michigan,Kent State,54,81,
Georgia,Alabama,59,108,
California,UCLA,43,78,
Baylor,Kansas,71,87,
Oklahoma,Texas,83,85,
Notre Dame,Virginia,55,57,
Colorado,Arizona,68,78,
Tennessee,Kentucky,54,66,
Iowa State,Kansas State,55,61,
Gonzaga,Pepperdine,97,88,
Illinois,Indiana,68,71,
Wake Forest,Miami (FL),87,96,
DePaul,Xavier,68,82,
BYU,Saint Mary's,65,71,
Creighton,St. John's (NY),77,67,
Seton Hall,UConn,55,64,
Oklahoma State,TCU,75,100,
Villanova,Providence,72,85,
Buffalo,Akron,66,86,
Ohio,Central Michigan,76,59,
Wofford,The Citadel,72,68,
North Carolina Central,Delaware State,66,58,
Drexel,Hampton,72,75,
Louisiana,James Madison,68,74,
Radford,Longwood,63,73,
Troy,Marshall,78,88,
Binghamton,UMass-Lowell,70,84,
Western Carolina,Mercer,71,68,
Milwaukee,Robert Morris,60,80,
Bethune-Cookman,Alabama A&M,56,90,
Florida A&M,Alabama State,60,54,
North Florida,Austin Peay,71,73,
Alcorn State,Jackson State,75,60,
Florida International,Middle Tennessee,58,69,
Evansville,Murray State,58,74,
Miami (OH),Northern Illinois,66,65,
Western Kentucky,Rice,77,83,
Sam Houston,Tarleton State,64,59,
Mississippi Valley State,Texas Southern,62,80,
Auburn,Vanderbilt,65,67,
Utah,Arizona State,59,67,
Montana,Montana State,68,72,
Texas-Rio Grande Valley,New Mexico State,,,
Nevada,Utah State,66,75,
Northern Colorado,Eastern Washington,77,89,
Pacific,Loyola Marymount,88,90,
Santa Clara,Portland,103,84,
Stanford,USC,75,85,
UNC Greensboro,Chattanooga,93,76,
St. Joseph's,Davidson,75,76,
Boston College,Florida State,75,69,
William & Mary,Northeastern,57,69,
Texas Tech,West Virginia,78,72,
Lafayette,Army,43,53,
Bucknell,Boston University,61,77,
Stonehill,Central Connecticut,90,94,
Illinois State,Indiana State,64,80,
Saint Francis (PA),LIU,93,82,
South Carolina,LSU,82,73,
UMBC,New Hampshire,66,75,
Samford,VMI,96,61,
Lehigh,American,62,59,
Florida,Arkansas,65,84,
Presbyterian,Campbell,57,74,
Texas State,Coastal Carolina,78,75,
Holy Cross,Colgate,73,96,
Florida Tech,Georgia Tech,56,79,
Queens (NC),Kennesaw State,83,76,
Albany (NY),Maine,72,74,
Elon,Monmouth,75,68,
UMass,Rhode Island,69,45,
Merrimack,Sacred Heart,67,55,
Fordham,VCU,61,80,
Ball State,Western Michigan,68,78,
Rutgers,Wisconsin,58,57,
Green Bay,Youngstown State,65,95,
Georgia State,Arkansas State,70,75,
South Dakota,Denver,68,86,
Charlotte,Louisiana Tech,74,67,
Mississippi State,Ole Miss,69,61,
Lindenwood,Morehead State,58,71,
Gardner-Webb,UNC Asheville,63,75,
Georgia Southern,Southern Miss,62,73,
UT Arlington,Stephen F. Austin,75,70,
Old Dominion,Appalachian State,74,63,
Eastern Illinois,Little Rock,77,81,
Howard,Coppin State,80,70,
UNC Wilmington,Delaware,66,75,
La Salle,George Mason,66,70,
Southern,Grambling,64,69,
USC Upstate,High Point,66,81,
South Carolina State,Maryland-Eastern Shore,62,78,
Texas A&M-Corpus Christi,McNeese State,77,54,
Northern Iowa,Missouri State,69,66,
Loyola (MD),Navy,53,65,
Incarnate Word,Nicholls State,74,84,
Morgan State,Norfolk State,50,72,
New Orleans,Northwestern State,68,65,
Louisiana-Monroe,South Alabama,45,81,
SIU-Edwardsville,Tennessee State,85,100,
UT-Martin,Tennessee Tech,100,91,
UAB,UTSA,83,78,
North Carolina A&T,Towson,75,87,
FDU,Wagner,66,48,
Toledo,Bowling Green State,91,86,
Winthrop,Charleston Southern,75,67,
Colorado State,Fresno State,60,57,
Northern Arizona,Idaho,72,50,
Liberty,Jacksonville State,79,55,
Jacksonville,Lipscomb,59,62,
Southern Indiana,Southeast Missouri State,80,85,
Southeastern Louisiana,Texas A&M-Commerce,78,76,
Pitt,Virginia Tech,72,79,
Harvard,Cornell,73,56,
Texas A&M,Missouri,69,60,
Brown,Penn,69,90,
Arkansas-Pine Bluff,Prairie View,71,82,
Yale,Princeton,93,83,
Hofstra,Stony Brook,68,65,
Duke,Syracuse,77,55,
Dartmouth,Columbia,65,71,
North Alabama,Eastern Kentucky,98,93,
Stetson,Florida Gulf Coast,88,84,
Hawaii,Long Beach State,70,67,
Clemson,Louisville,73,83,
Penn State,Minnesota,76,69,
Vermont,NJIT,82,80,
Idaho State,Sacramento State,65,70,
UCSB,UC-Riverside,63,74,
Lamar,Houston Christian,74,93,
North Dakota,Kansas City,81,73,
South Dakota State,Omaha,91,70,
North Dakota State,Oral Roberts,66,74,
Duquesne,Saint Louis,85,90,
Utah Valley,Seattle,67,58,
Tulane,South Florida,84,66,
Western Illinois,St. Thomas,69,82,
Oregon State,Washington,47,61,
Cal Poly,Cal State Fullerton,62,83,
UC-Davis,UC-Irvine,76,78,
Michigan State,Michigan,72,84,
North Texas,UTEP,80,72,
Cal State Northridge,UC-San Diego,62,75,
Weber State,Portland State,65,57,
Memphis,Houston,64,72,
Ohio State,Purdue,55,82,
UNC,NC State,69,77,
Central Arkansas,Bellarmine,67,68,
ETSU,Furman,79,83,
Hartford,Chicago State,53,75,
Belmont,Drake,56,70,
Valparaiso,UIC,73,74,
Bradley,Southern Illinois,50,48,
Cincinnati,UCF,73,71,
IUPUI,Detroit Mercy,68,81,
Manhattan,Fairfield,73,72,
Wright State,Purdue Fort Wayne,75,77,
Niagara,Marist,52,61,
Canisius,Mount St. Mary's,74,75,
Rider,Quinnipiac,88,90,
Iona,St. Peter's,73,53,
George Washington,St. Bonaventure,83,81,
Tulsa,Temple,53,76,
Georgetown,Butler,68,62,
Northern Kentucky,Cleveland State,63,64,
East Carolina,SMU,70,86,
Maryland,Nebraska,66,70,
Iowa,Northwestern,60,80,
Oregon,Washington State,65,68,
UNLV,Boise State,69,73,
Kansas,TCU,63,58,
Minnesota,Illinois,69,78,
Florida A&M,Alabama A&M,77,71,
Bethune-Cookman,Alabama State,70,65,
Arkansas-Pine Bluff,Texas Southern,59,64,
UC-San Diego,UC-Davis,66,76,
South Carolina State,Delaware State,68,69,
Louisville,Duke,62,79,
North Carolina Central,Maryland-Eastern Shore,68,63,
Howard,Morgan State,76,89,
Coppin State,Norfolk State,69,62,
SW Assembl. of God,Texas-Rio Grande Valley,65,113,
Oklahoma State,West Virginia,67,85,
Texas A&M-Commerce,Nicholls State,72,71,
Mississippi Valley State,Prairie View,65,67,
UC-Irvine,Cal Poly,59,56,
Hawaii,Cal State Bakersfield,61,50,
UC-Riverside,Cal State Northridge,96,76,
Cal State Fullerton,UCSB,74,60,
Iowa State,Texas,54,72,
Baylor,Kansas State,65,75,
Marquette,Creighton,73,71,
Tennessee,Texas A&M,63,68,
Miami (FL),Virginia Tech,76,70,
Villanova,Xavier,64,63,
Indiana,Michigan State,65,80,
Colorado State,San Diego State,58,77,
Central Michigan,Buffalo,35,63,
Bowling Green State,Miami (OH),65,74,
Northern Illinois,Ohio,68,77,
Youngstown State,Robert Morris,64,83,
VCU,St. Joseph's,88,63,
Murray State,Missouri State,69,84,
Utah State,Wyoming,65,55,
San Jose State,Nevada,51,66,
Park (AZ),Grand Canyon,38,111,
Kent State,Ball State,70,82,
Western Michigan,Eastern Michigan,59,66,
Mississippi State,Missouri,64,66,
Georgia Tech,Pitt,68,76,
Saint Louis,Richmond,78,81,
Akron,Toledo,63,84,
East Carolina,Tulsa,62,60,
Fresno State,Air Force,74,69,
Georgia,Arkansas,65,97,
Texas Tech,Oklahoma,74,63,
Tulane,Houston,59,89,
Alabama,South Carolina,78,76,
Virginia,Boston College,48,63,
Providence,UConn,69,87,
Samford,Chattanooga,75,70,
Bellarmine,Jacksonville,63,61,
Marshall,James Madison,92,83,
Colgate,Lafayette,73,69,
Dayton,UMass,72,54,
Maine,New Hampshire,62,74,
Austin Peay,Stetson,51,76,
Illinois State,Drake,51,82,
Fordham,Loyola (IL),71,69,
Grand Canyon,New Mexico State,,,
St. Bonaventure,Davidson,61,74,
Boston University,Army,73,67,
Charleston Southern,UNC Asheville,62,80,
Navy,American,70,54,
Indiana State,Belmont,88,89,
South Florida,UCF,82,75,
Temple,Cincinnati,83,88,
Syracuse,Clemson,73,91,
The Citadel,ETSU,70,78,
Kentucky,Florida,82,74,
Lipscomb,Florida Gulf Coast,73,64,
Mercer,Furman,67,70,
Coastal Carolina,Georgia Southern,68,76,
Appalachian State,Georgia State,78,52,
Radford,High Point,64,69,
Duquesne,La Salle,91,74,
Bucknell,Lehigh,62,78,
Troy,Louisiana-Monroe,82,78,
Vanderbilt,LSU,77,84,
Holy Cross,Loyola (MD),68,90,
Minnesota,Maryland,70,88,
UMass-Lowell,UMBC,75,70,
Bryant,NJIT,79,78,
Kennesaw State,North Alabama,79,66,
Western Carolina,UNC Greensboro,52,71,
Eastern Kentucky,North Florida,64,77,
Southern Miss,Old Dominion,64,69,
USC Upstate,Presbyterian,59,57,
Liberty,Queens (NC),85,77,
George Washington,Rhode Island,89,80,
Bradley,Valparaiso,76,66,
Binghamton,Vermont,70,81,
Wofford,VMI,83,87,
Campbell,Winthrop,93,95,
Stephen F. Austin,Abilene Christian,91,87,
Jacksonville State,Central Arkansas,101,71,
Butler,DePaul,59,58,
St. John's (NY),Georgetown,79,70,
Arkansas State,Louisiana,74,85,
Northern Iowa,Southern Illinois,63,86,
South Alabama,Texas State,76,67,
Ole Miss,Auburn,74,78,
Wake Forest,NC State,74,90,
UNC,Notre Dame,63,59,
Iowa,Wisconsin,52,64,
New Mexico,Boise State,77,82,
UIC,Evansville,82,76,
Morehead State,Eastern Illinois,69,63,
UCLA,Utah,78,71,
San Diego,Gonzaga,72,97,
Pacific,Saint Mary's,52,83,
Northwestern,Illinois,62,66,
Longwood,Gardner-Webb,75,63,
North Texas,Charlotte,49,55,
Northeastern,Drexel,48,75,
UTEP,Florida International,87,82,
Monmouth,Hampton,81,86,
Delaware,North Carolina A&T,73,71,
Rice,UAB,57,85,
Southeast Missouri State,Lindenwood,102,105,
Utah Valley,Tarleton State,58,77,
Louisiana Tech,Western Kentucky,66,76,
Idaho,Idaho State,55,65,
Portland,San Francisco,89,92,
Pepperdine,Santa Clara,82,91,
Western Illinois,North Dakota,81,70,
Penn State,Ohio State,75,71,
Towson,College of Charleston,75,83,
Northern Kentucky,Detroit Mercy,67,64,
UTSA,Florida Atlantic,66,106,
Robert Morris,IUPUI,75,81,
Central Connecticut,Merrimack,54,70,
Stony Brook,UNC Wilmington,69,76,
Wright State,Oakland,68,75,
St. Francis (NY),Sacred Heart,70,63,
FDU,Saint Francis (PA),72,82,
California Baptist,Sam Houston,45,56,
Utah Tech,Texas-Rio Grande Valley,88,81,
Stonehill,Wagner,44,54,
Memphis,Wichita State,83,78,
Elon,William & Mary,60,73,
McNeese State,Houston Christian,80,85,
Northwestern State,Incarnate Word,71,66,
Southeastern Louisiana,Lamar,83,60,
Purdue Fort Wayne,Milwaukee,94,96,
Nicholls State,New Orleans,82,88,
St. Thomas,North Dakota State,64,73,
Michigan,Rutgers,58,45,
Oral Roberts,South Dakota,82,70,
Kansas City,South Dakota State,50,73,
Little Rock,SIU-Edwardsville,79,74,
Tennessee Tech,Southern Indiana,82,79,
Texas A&M-Commerce,Texas A&M-Corpus Christi,84,80,
Southern Utah,UT Arlington,86,76,
Washington,California,65,56,
USC,Colorado,84,65,
Cleveland State,Green Bay,76,65,
Portland State,Montana,,,
Sacramento State,Montana State,56,60,
Tennessee State,UT-Martin,88,82,
Eastern Washington,Weber State,89,82,
UC-Davis,Cal State Fullerton,,,
Cal State Bakersfield,Cal State Northridge,68,75,
UC-San Diego,UC-Irvine,99,91,
Long Beach State,UCSB,73,78,
Washington State,Stanford,67,63,
Xavier,Seton Hall,82,60,
Austin Peay,Florida Gulf Coast,71,89,
UC-Riverside,Hawaii,54,52,
Georgia State,James Madison,69,90,
Marshall,Old Dominion,67,71,
Richmond,VCU,58,73,
St. Peter's,Canisius,53,66,
Appalachian State,Georgia Southern,64,73,
Eastern Kentucky,Jacksonville,56,52,
Queens (NC),Liberty,53,73,
Arkansas State,Louisiana-Monroe,64,61,
Marist,Manhattan,81,58,
Iona,Mount St. Mary's,80,68,
Fairfield,Niagara,68,76,
Jacksonville State,North Alabama,92,83,
Bellarmine,North Florida,67,79,
Siena,Rider,66,69,
Lipscomb,Stetson,98,91,
Coastal Carolina,Troy,74,95,
Kennesaw State,Central Arkansas,72,56,
South Alabama,Louisiana,64,74,
Southern Miss,Texas State,79,69,
Wyoming,Colorado State,71,84,
Seattle,Grand Canyon,65,54,
Air Force,UNLV,53,54,
Nevada,Fresno State,60,56,
Houston,East Carolina,76,57,
Arkansas,Alabama,83,86,
West Virginia,Kansas,74,76,
Indiana,Purdue,79,71,
Virginia,UNC,63,71,
Arizona State,Arizona,89,88,
Texas,Baylor,72,81,
DePaul,Marquette,84,90,
South Carolina,Tennessee,45,85,
Saint Mary's,Gonzaga,68,77,
Florida State,Miami (FL),85,84,
Kansas State,Oklahoma State,73,68,
UConn,St. John's (NY),95,86,
Creighton,Villanova,67,79,
San Diego State,New Mexico,73,71,
Oklahoma,Iowa State,61,50,
TCU,Texas Tech,83,82,
Texas A&M,Mississippi State,62,69,
Western Michigan,Akron,64,81,
NJIT,Albany (NY),68,82,
Lafayette,Bucknell,65,75,
Northern Illinois,Central Michigan,84,80,
Rice,Charlotte,54,70,
Virginia Tech,Duke,65,81,
Ball State,Eastern Michigan,68,75,
St. Francis (NY),FDU,69,86,
Grambling,Florida A&M,69,55,
UTSA,Florida International,95,91,
Army,Holy Cross,80,65,
UNC Asheville,Longwood,76,66,
New Hampshire,UMass-Lowell,55,92,
The Citadel,Mercer,50,72,
Ohio,Miami (OH),68,85,
Hampton,North Carolina A&T,72,73,
Norfolk State,South Carolina State,88,76,
High Point,Winthrop,78,84,
Alabama A&M,Alabama State,55,50,
Texas A&M-Commerce,Incarnate Word,75,79,
Texas Southern,Jackson State,69,71,
Little Rock,Lindenwood,96,97,
Louisiana Tech,Middle Tennessee,49,63,
Arkansas-Pine Bluff,Mississippi Valley State,74,78,
Loyola (IL),Saint Louis,62,81,
Southern,Bethune-Cookman,53,60,
Southern Indiana,Tennessee State,93,81,
Tarleton State,Texas-Rio Grande Valley,95,99,
Florida,Vanderbilt,72,88,
UAB,Western Kentucky,72,60,
Eastern Washington,Idaho State,63,71,
Portland State,Montana State,78,91,
Northern Arizona,Northern Colorado,85,82,
USC,Utah,62,49,
Oregon,Oregon State,69,67,
Portland,Pacific,77,81,
Loyola Marymount,Pepperdine,75,67,
Boise State,San Jose State,68,74,
Michigan State,Iowa,106,112,
Clemson,NC State,96,71,
Lehigh,Boston University,56,59,
Sacred Heart,Central Connecticut,69,67,
Wright State,Detroit Mercy,82,71,
Missouri,Georgia,85,63,
Merrimack,LIU,80,59,
Maine,Binghamton,71,67,
Brown,Columbia,84,73,
UTEP,Florida Atlantic,49,75,
Rhode Island,Fordham,71,74,
Louisville,Georgia Tech,67,83,
Princeton,Harvard,58,56,
Northeastern,Hofstra,52,84,
St. Thomas,North Dakota,74,82,
Western Illinois,North Dakota State,69,71,
Dartmouth,Penn,79,89,
Campbell,Radford,65,67,
Buffalo,Toledo,71,101,
Monmouth,William & Mary,62,74,
UT-Martin,Morehead State,58,72,
Minnesota,Nebraska,67,78,
Northern Kentucky,Oakland,78,69,
Furman,Samford,93,79,
Gardner-Webb,USC Upstate,69,75,
Oral Roberts,South Dakota State,69,65,
Utah Tech,UT Arlington,69,71,
Stony Brook,College of Charleston,52,92,
Maryland-Eastern Shore,Coppin State,78,57,
UNC Greensboro,ETSU,62,63,
Tennessee Tech,Eastern Illinois,75,66,
Auburn,Kentucky,54,86,
Delaware State,Morgan State,78,83,
Colgate,Navy,64,60,
Houston Christian,Nicholls State,64,68,
Howard,North Carolina Central,60,68,
Wagner,Saint Francis (PA),68,58,
McNeese State,Southeastern Louisiana,75,78,
Southeast Missouri State,SIU-Edwardsville,78,93,
VMI,Western Carolina,66,85,
Kent State,Bowling Green State,79,69,
Washington State,California,63,57,
Presbyterian,Charleston Southern,59,85,
Omaha,Denver,61,72,
American,Loyola (MD),77,83,
Syracuse,Pitt,82,99,
Southern Utah,Sam Houston,57,64,
Northwestern State,Texas A&M-Corpus Christi,75,83,
Prairie View,Alcorn State,75,71,
George Mason,Dayton,74,69,
La Salle,George Washington,85,92,
Utah Valley,Abilene Christian,66,62,
Vermont,Bryant,70,66,
Delaware,Elon,70,54,
Purdue Fort Wayne,Green Bay,78,61,
Youngstown State,IUPUI,93,79,
New Orleans,Lamar,84,79,
Cal State Northridge,Long Beach State,64,71,
Towson,UNC Wilmington,57,53,
SMU,South Florida,67,71,
Notre Dame,Wake Forest,58,66,
Chattanooga,Wofford,74,86,
Cornell,Yale,58,76,
Cleveland State,Milwaukee,72,81,
LSU,Ole Miss,69,82,
Kansas City,South Dakota,48,82,
Sacramento State,Montana,72,74,
Idaho,Weber State,53,67,
San Francisco,BYU,61,87,
UC-Davis,Cal Poly,58,52,
Cal State Fullerton,Cal State Bakersfield,70,66,
UCSB,UC-San Diego,87,71,
Santa Clara,San Diego,81,63,
UC-Irvine,Hawaii,67,72,
UCLA,Colorado,60,56,
Providence,Georgetown,88,68,
Northwestern,Maryland,59,75,
Manhattan,Quinnipiac,72,70,
Drake,Bradley,61,73,
Southern Illinois,UIC,68,65,
Evansville,Illinois State,53,72,
Valparaiso,Murray State,76,77,
Belmont,Northern Iowa,83,75,
California Baptist,Stephen F. Austin,58,80,
Washington,Stanford,69,81,
Illinois,Ohio State,60,72,
St. Joseph's,St. Bonaventure,76,89,
Fairfield,Canisius,51,64,
Missouri State,Indiana State,66,62,
Siena,Iona,60,93,
St. Peter's,Niagara,66,65,
Davidson,Duquesne,71,67,
Cincinnati,Memphis,73,76,
Wisconsin,Michigan,79,87,
Mount St. Mary's,Rider,63,58,
Wichita State,Tulane,83,76,
UCF,Tulsa,68,49,
Rutgers,Penn State,59,56,
Baylor,Oklahoma State,74,68,
Grambling,Bethune-Cookman,66,54,
Coppin State,Delaware State,82,72,
Southern,Florida A&M,60,58,
UNC,Florida State,77,66,
Howard,South Carolina State,82,78,
Montana State,Eastern Washington,79,74,
Morgan State,Maryland-Eastern Shore,68,61,
Norfolk State,North Carolina Central,75,76,
Bellarmine,North Florida,76,74,A-Sun  Conf Tournament - First Round
Florida Gulf Coast,Queens (NC),55,61,A-Sun  Conf Tournament - First Round
Texas Southern,Alcorn State,81,89,
Prairie View,Jackson State,57,61,
Weber State,Northern Arizona,90,89,
Idaho State,Northern Colorado,72,87,
Montana,Idaho,68,53,
West Virginia,Iowa State,72,69,
Nevada,Wyoming,71,80,
Sacramento State,Portland State,76,74,
Texas Tech,Kansas,63,67,
Marquette,Butler,72,56,
Arkansas,Tennessee,57,75,
Clemson,Virginia,57,64,
Iowa,Indiana,90,68,
San Diego State,Boise State,60,66,
Texas A&M,Ole Miss,69,61,
Ball State,Akron,83,87,
NJIT,New Hampshire,58,59,
Saint Louis,VCU,67,79,
Buffalo,Northern Illinois,85,75,
Arkansas State,Coastal Carolina,86,69,Sun Belt  Conf Tournament - First Round
Bucknell,American,59,64,Patriot  Conf Tournament - First Round
UMBC,Binghamton,70,67,
Eastern Michigan,Bowling Green State,68,88,
Toledo,Central Michigan,99,65,
La Salle,Dayton,53,77,
Purdue Fort Wayne,Detroit Mercy,68,81,Horizon  Conf Tournament - First Round
NC State,Duke,67,71,
North Alabama,Eastern Kentucky,48,73,A-Sun  Conf Tournament - Quarterfinals
Florida,Georgia,77,67,
Queens (NC),Kennesaw State,66,67,A-Sun  Conf Tournament - Quarterfinals
Ohio,Kent State,75,82,
Bellarmine,Liberty,56,76,A-Sun  Conf Tournament - Quarterfinals
Holy Cross,Loyola (MD),69,73,Patriot  Conf Tournament - First Round
Bryant,Maine,64,66,
IUPUI,Robert Morris,64,67,Horizon  Conf Tournament - First Round
Lipscomb,Stetson,83,70,A-Sun  Conf Tournament - Quarterfinals
Georgia Tech,Syracuse,96,76,
Albany (NY),Vermont,61,79,
Boston College,Wake Forest,71,69,
Miami (OH),Western Michigan,77,62,
Green Bay,Wright State,57,77,Horizon  Conf Tournament - First Round
Villanova,Seton Hall,76,72,
Georgia State,Texas State,76,81,Sun Belt  Conf Tournament - First Round
Virginia Tech,Louisville,71,54,
South Carolina,Mississippi State,68,74,
Michigan State,Nebraska,80,67,
SW Assembl. of God,Tarleton State,45,110,
Fresno State,New Mexico,80,94,
Colorado State,San Jose State,46,63,
Auburn,Alabama,85,90,
Texas,TCU,73,75,
Chicago State,Gonzaga,65,104,
Oklahoma,Kansas State,69,85,
DePaul,UConn,59,88,
Xavier,Providence,94,89,
Maryland,Ohio State,62,73,
Vanderbilt,Kentucky,68,66,
Pitt,Notre Dame,81,88,
Richmond,St. Joseph's,67,83,
New Mexico State,Abilene Christian,,,
Grand Canyon,Southern Utah,83,78,
Lamar,Nicholls State,60,64,
Charleston Southern,High Point,72,70,Big South  Conf Tournament - First Round
George Washington,Davidson,75,70,
UMass,Duquesne,79,88,
St. Francis (NY),FDU,75,83,NEC  Conf Tournament - Quarterfinals
Fordham,George Mason,58,64,
LIU,Merrimack,76,91,NEC  Conf Tournament - Quarterfinals
Wagner,Sacred Heart,55,67,NEC  Conf Tournament - Quarterfinals
Central Connecticut,Saint Francis (PA),69,83,NEC  Conf Tournament - Quarterfinals
Tulsa,South Florida,56,72,
