School,G,SRS,SOS,Tm.,Opp.,MP,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
La Salle,34,-2.79,-0.02,2374,2468,1375,898,1996,.450,240,696,.345,432,630,.686,365,1239,455,203,152,422,571,863,2037,.424,248,726,.342,400,577,.693,384,1217,408,229,110,427,606
Lafayette,34,-7.83,-4.53,2120,2232,1394,800,1826,.438,257,753,.341,375,537,.698,283,1194,442,212,89,403,491,767,1881,.408,298,911,.327,288,460,.626,284,1106,528,196,101,396,523
Lamar,31,-17.40,-7.65,2104,2311,1250,827,1852,.447,279,819,.341,378,564,.670,376,1110,531,251,118,382,519,761,1767,.431,178,556,.320,404,574,.704,364,1119,409,199,105,441,488
Lehigh,30,-9.08,-6.04,2094,2082,1200,769,1778,.433,200,620,.323,344,505,.681,279,1084,367,176,90,353,462,752,1698,.443,205,584,.351,385,516,.746,203,1006,370,187,71,353,501
Liberty,36,8.36,-1.91,2689,2194,1440,792,1891,.419,230,689,.334,380,518,.734,239,1089,327,205,92,468,569,963,2032,.474,376,1007,.373,387,532,.727,296,1219,580,226,82,373,540
Lindenwood,32,-14.80,-6.35,2226,2362,1305,847,1918,.442,273,799,.342,395,570,.693,343,1205,457,222,99,412,494,804,1873,.429,239,664,.360,379,520,.729,288,1099,376,203,105,424,514
Lipscomb,33,-1.95,-4.02,2521,2343,1340,866,2024,.428,265,794,.334,346,466,.742,288,1094,357,202,90,383,481,943,1983,.476,266,748,.356,369,496,.744,289,1198,466,177,92,399,460
Little Rock,31,-12.62,-6.97,2337,2461,1250,870,1829,.476,270,689,.392,451,678,.665,322,1124,458,194,116,441,567,845,1907,.443,185,567,.326,462,632,.731,339,1107,460,209,72,418,609
Long Beach State,33,-0.58,-0.42,2524,2455,1355,867,2056,.422,276,820,.337,445,609,.731,350,1148,477,249,104,463,615,949,2086,.455,146,494,.296,480,708,.678,429,1341,494,245,108,466,563
Long Island University,29,-24.46,-6.61,1935,2319,1160,854,1795,.476,228,631,.361,383,566,.677,306,1086,504,254,112,371,491,720,1683,.428,142,420,.338,353,535,.660,275,1005,420,192,99,475,511
